experiment,executable,ranks,threads,n,nz,mode,phase,repetition,time_s,rayleigh,reference_rayleigh,rayleigh_error,returncode
phases,mpi_omp,1,2,500000,20000000,regular,computation,1,44.425266,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,2,500000,20000000,regular,global_spmv,1,41.579835,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,2,500000,20000000,regular,global_epoch,1,2e-06,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,2,500000,20000000,regular,global_comm,1,0.556494,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,2,500000,20000000,regular,global_rotate,1,1.684932,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,2,500000,20000000,regular,global_normalize,1,0.358996,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,2,500000,20000000,regular,computation,2,45.013995,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,2,500000,20000000,regular,global_spmv,2,42.116847,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,2,500000,20000000,regular,global_epoch,2,1e-06,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,2,500000,20000000,regular,global_comm,2,0.571316,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,2,500000,20000000,regular,global_rotate,2,1.7122,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,2,500000,20000000,regular,global_normalize,2,0.367597,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,2,500000,20000000,regular,computation,3,44.444819,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,2,500000,20000000,regular,global_spmv,3,41.596199,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,2,500000,20000000,regular,global_epoch,3,2e-06,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,2,500000,20000000,regular,global_comm,3,0.55844,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,2,500000,20000000,regular,global_rotate,3,1.68895,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,2,500000,20000000,regular,global_normalize,3,0.357326,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,4,500000,20000000,regular,computation,1,45.594672,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,4,500000,20000000,regular,global_spmv,1,41.93225,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,4,500000,20000000,regular,global_epoch,1,1e-06,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,4,500000,20000000,regular,global_comm,1,0.633827,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,4,500000,20000000,regular,global_rotate,1,1.836733,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,4,500000,20000000,regular,global_normalize,1,0.942883,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,4,500000,20000000,regular,computation,2,45.636552,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,4,500000,20000000,regular,global_spmv,2,41.892061,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,4,500000,20000000,regular,global_epoch,2,1e-06,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,4,500000,20000000,regular,global_comm,2,0.631686,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,4,500000,20000000,regular,global_rotate,2,1.864976,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,4,500000,20000000,regular,global_normalize,2,1.002136,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,4,500000,20000000,regular,computation,3,45.603406,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,4,500000,20000000,regular,global_spmv,3,41.782651,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,1,4,500000,20000000,regular,global_epoch,3,1e-06,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
