experiment,executable,implementation,n,nz,mode,threads,scheduling,chunk_size,repetition,time_s,rayleigh,reference_rayleigh,rayleigh_abs_error,checksum,returncode
task_vs_worksharing,omp,task-based,500000,20000000,irregular,1,,256,1,43.238743,4.22326053547821,4.223260535478325,1.1457501614131615e-13,0xfe23a2364565dc83,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,1,,256,2,43.189425,4.22326053547821,4.223260535478325,1.1457501614131615e-13,0xfe23a2364565dc83,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,1,,256,3,43.150699,4.22326053547821,4.223260535478325,1.1457501614131615e-13,0xfe23a2364565dc83,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,1,,256,1,43.195952,4.223260535478325,4.223260535478325,0.0,0xadd2edef7e35a4f9,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,1,,256,2,42.900955,4.223260535478325,4.223260535478325,0.0,0xadd2edef7e35a4f9,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,1,,256,3,43.382125,4.223260535478325,4.223260535478325,0.0,0xadd2edef7e35a4f9,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,1,,1024,1,42.907385,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,1,,1024,2,42.916811,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,1,,1024,3,43.081569,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,1,,1024,1,43.103748,4.223260535478325,4.223260535478325,0.0,0xadd2edef7e35a4f9,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,1,,1024,2,42.995375,4.223260535478325,4.223260535478325,0.0,0xadd2edef7e35a4f9,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,1,,1024,3,43.222947,4.223260535478325,4.223260535478325,0.0,0xadd2edef7e35a4f9,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,1,,4096,1,49.557707,4.223260535478204,4.223260535478325,1.2079226507921703e-13,0xce9903ee01db46a7,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,1,,4096,2,43.267076,4.223260535478204,4.223260535478325,1.2079226507921703e-13,0xce9903ee01db46a7,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,1,,4096,3,43.052451,4.223260535478204,4.223260535478325,1.2079226507921703e-13,0xce9903ee01db46a7,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,1,,4096,1,43.073652,4.223260535478325,4.223260535478325,0.0,0xadd2edef7e35a4f9,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,1,,4096,2,42.971284,4.223260535478325,4.223260535478325,0.0,0xadd2edef7e35a4f9,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,1,,4096,3,43.198126,4.223260535478325,4.223260535478325,0.0,0xadd2edef7e35a4f9,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,2,,256,1,24.060939,4.22326053547821,4.223260535478325,1.1457501614131615e-13,0xfe23a2364565dc83,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,2,,256,2,24.2182,4.22326053547821,4.223260535478325,1.1457501614131615e-13,0xfe23a2364565dc83,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,2,,256,3,24.103606,4.22326053547821,4.223260535478325,1.1457501614131615e-13,0xfe23a2364565dc83,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,2,,256,1,23.4715,4.223260535478147,4.223260535478325,1.7763568394002505e-13,0x3b044b11582b6ea0,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,2,,256,2,23.101848,4.223260535478147,4.223260535478325,1.7763568394002505e-13,0x3b044b11582b6ea0,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,2,,256,3,23.148049,4.223260535478147,4.223260535478325,1.7763568394002505e-13,0x3b044b11582b6ea0,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,2,,1024,1,23.53322,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,2,,1024,2,23.179464,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,2,,1024,3,23.389172,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,2,,1024,1,26.309209,4.223260535478151,4.223260535478325,1.7319479184152442e-13,0x502aef42952d7d06,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,2,,1024,2,23.018097,4.223260535478151,4.223260535478325,1.7319479184152442e-13,0x502aef42952d7d06,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,2,,1024,3,23.095835,4.223260535478151,4.223260535478325,1.7319479184152442e-13,0x502aef42952d7d06,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,2,,4096,1,23.580207,4.223260535478204,4.223260535478325,1.2079226507921703e-13,0xce9903ee01db46a7,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,2,,4096,2,23.770985,4.223260535478204,4.223260535478325,1.2079226507921703e-13,0xce9903ee01db46a7,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,2,,4096,3,23.558434,4.223260535478204,4.223260535478325,1.2079226507921703e-13,0xce9903ee01db46a7,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,2,,4096,1,23.360126,4.223260535478113,4.223260535478325,2.113864638886298e-13,0x76118ecf2fe07fed,0
