experiment,executable,implementation,n,nz,mode,threads,scheduling,chunk_size,repetition,time_s,rayleigh,reference_rayleigh,rayleigh_abs_error,checksum,returncode
task_vs_worksharing,omp,task-based,500000,20000000,regular,1,,256,1,43.178519,5.601504662506865,5.601504662506887,2.220446049250313e-14,0x7cee2d0beca1b949,0
task_vs_worksharing,omp,task-based,500000,20000000,regular,1,,256,2,42.769538,5.601504662506865,5.601504662506887,2.220446049250313e-14,0x7cee2d0beca1b949,0
task_vs_worksharing,omp,task-based,500000,20000000,regular,1,,256,3,43.020716,5.601504662506865,5.601504662506887,2.220446049250313e-14,0x7cee2d0beca1b949,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,regular,1,,256,1,42.509855,5.601504662506887,5.601504662506887,0.0,0xa9a02afd04fba066,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,regular,1,,256,2,42.877142,5.601504662506887,5.601504662506887,0.0,0xa9a02afd04fba066,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,regular,1,,256,3,42.90964,5.601504662506887,5.601504662506887,0.0,0xa9a02afd04fba066,0
task_vs_worksharing,omp,task-based,500000,20000000,regular,1,,1024,1,43.237349,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
task_vs_worksharing,omp,task-based,500000,20000000,regular,1,,1024,2,43.068837,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
task_vs_worksharing,omp,task-based,500000,20000000,regular,1,,1024,3,42.782563,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,regular,1,,1024,1,42.743572,5.601504662506887,5.601504662506887,0.0,0xa9a02afd04fba066,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,regular,1,,1024,2,42.763191,5.601504662506887,5.601504662506887,0.0,0xa9a02afd04fba066,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,regular,1,,1024,3,43.118619,5.601504662506887,5.601504662506887,0.0,0xa9a02afd04fba066,0
task_vs_worksharing,omp,task-based,500000,20000000,regular,1,,4096,1,42.770306,5.601504662506889,5.601504662506887,1.7763568394002505e-15,0xcce8cbc3829ed4e5,0
task_vs_worksharing,omp,task-based,500000,20000000,regular,1,,4096,2,43.78268,5.601504662506889,5.601504662506887,1.7763568394002505e-15,0xcce8cbc3829ed4e5,0
