experiment,executable,implementation,n,nz,mode,threads,scheduling,chunk_size,repetition,time_s,rayleigh,reference_rayleigh,rayleigh_abs_error,checksum,returncode
strong,thread,thread,500000,20000000,irregular,1,dynamic,1024,1,43.302458,4.223260535478325,4.223260535478325,0.0,0xadd2edef7e35a4f9,0
strong,thread,thread,500000,20000000,irregular,1,dynamic,1024,2,43.365927,4.223260535478325,4.223260535478325,0.0,0xadd2edef7e35a4f9,0
strong,thread,thread,500000,20000000,irregular,1,dynamic,1024,3,43.330821,4.223260535478325,4.223260535478325,0.0,0xadd2edef7e35a4f9,0
strong,thread,thread,500000,20000000,irregular,2,dynamic,1024,1,26.722495,4.223260535478151,4.223260535478325,1.7319479184152442e-13,0x1b99120c0e4965a4,0
strong,thread,thread,500000,20000000,irregular,2,dynamic,1024,2,27.150414,4.223260535478151,4.223260535478325,1.7319479184152442e-13,0x1eb1238dc55e60b2,0
strong,thread,thread,500000,20000000,irregular,2,dynamic,1024,3,26.67758,4.223260535478151,4.223260535478325,1.7319479184152442e-13,0x868b643c7593de45,0
strong,thread,thread,500000,20000000,irregular,4,dynamic,1024,1,15.205792,4.223260535478267,4.223260535478325,5.773159728050814e-14,0xe0df2239266e7299,0
strong,thread,thread,500000,20000000,irregular,4,dynamic,1024,2,15.156011,4.223260535478262,4.223260535478325,6.217248937900877e-14,0xc2941164bbca165b,0
strong,thread,thread,500000,20000000,irregular,4,dynamic,1024,3,14.956515,4.223260535478287,4.223260535478325,3.730349362740526e-14,0xec1ba5e992011467,0
strong,thread,thread,500000,20000000,irregular,8,dynamic,1024,1,8.239083,4.223260535478255,4.223260535478325,6.927791673660977e-14,0x849e8c236598c727,0
strong,thread,thread,500000,20000000,irregular,8,dynamic,1024,2,8.254054,4.223260535478219,4.223260535478325,1.056932319443149e-13,0x43a7a9ac7741f77,0
strong,thread,thread,500000,20000000,irregular,8,dynamic,1024,3,8.574292,4.223260535478227,4.223260535478325,9.769962616701378e-14,0xec0a314aea6851d4,0
strong,omp,openmp,500000,20000000,irregular,1,,1024,1,42.989894,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
strong,omp,openmp,500000,20000000,irregular,1,,1024,2,43.037078,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
strong,omp,openmp,500000,20000000,irregular,1,,1024,3,43.248017,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
strong,omp,openmp,500000,20000000,irregular,2,,1024,1,25.482091,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
strong,omp,openmp,500000,20000000,irregular,2,,1024,2,23.351675,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
strong,omp,openmp,500000,20000000,irregular,2,,1024,3,23.386414,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
strong,omp,openmp,500000,20000000,irregular,4,,1024,1,15.347144,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
strong,omp,openmp,500000,20000000,irregular,4,,1024,2,15.560567,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
strong,omp,openmp,500000,20000000,irregular,4,,1024,3,15.471444,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
strong,omp,openmp,500000,20000000,irregular,8,,1024,1,9.850627,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
strong,omp,openmp,500000,20000000,irregular,8,,1024,2,9.813349,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
strong,omp,openmp,500000,20000000,irregular,8,,1024,3,9.728205,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
