experiment,executable,implementation,n,nz,mode,threads,scheduling,chunk_size,repetition,time_s,rayleigh,reference_rayleigh,rayleigh_abs_error,checksum,returncode
thread_scheduling,thread,thread,500000,20000000,irregular,8,static,64,1,29.959453,4.223260535478236,4.223260535478325,8.881784197001252e-14,0xaa170969e1b37705,0
thread_scheduling,thread,thread,500000,20000000,irregular,8,static,64,2,30.318281,4.223260535478236,4.223260535478325,8.881784197001252e-14,0xaa170969e1b37705,0
thread_scheduling,thread,thread,500000,20000000,irregular,8,static,64,3,29.450699,4.223260535478236,4.223260535478325,8.881784197001252e-14,0xaa170969e1b37705,0
thread_scheduling,thread,thread,500000,20000000,irregular,8,static,256,1,29.897556,4.223260535478236,4.223260535478325,8.881784197001252e-14,0xaa170969e1b37705,0
thread_scheduling,thread,thread,500000,20000000,irregular,8,static,256,2,29.741553,4.223260535478236,4.223260535478325,8.881784197001252e-14,0xaa170969e1b37705,0
thread_scheduling,thread,thread,500000,20000000,irregular,8,static,256,3,30.018765,4.223260535478236,4.223260535478325,8.881784197001252e-14,0xaa170969e1b37705,0
thread_scheduling,thread,thread,500000,20000000,irregular,8,static,1024,1,29.869508,4.223260535478236,4.223260535478325,8.881784197001252e-14,0xaa170969e1b37705,0
thread_scheduling,thread,thread,500000,20000000,irregular,8,static,1024,2,29.851246,4.223260535478236,4.223260535478325,8.881784197001252e-14,0xaa170969e1b37705,0
thread_scheduling,thread,thread,500000,20000000,irregular,8,static,1024,3,29.881841,4.223260535478236,4.223260535478325,8.881784197001252e-14,0xaa170969e1b37705,0
thread_scheduling,thread,thread,500000,20000000,irregular,8,static,4096,1,29.958155,4.223260535478236,4.223260535478325,8.881784197001252e-14,0xaa170969e1b37705,0
thread_scheduling,thread,thread,500000,20000000,irregular,8,static,4096,2,29.547546,4.223260535478236,4.223260535478325,8.881784197001252e-14,0xaa170969e1b37705,0
thread_scheduling,thread,thread,500000,20000000,irregular,8,static,4096,3,29.681748,4.223260535478236,4.223260535478325,8.881784197001252e-14,0xaa170969e1b37705,0
thread_scheduling,thread,thread,500000,20000000,irregular,8,dynamic,64,1,9.043839,4.223260535478264,4.223260535478325,6.039613253960852e-14,0x1b9556c438ce22ed,0
thread_scheduling,thread,thread,500000,20000000,irregular,8,dynamic,64,2,9.025498,4.223260535478239,4.223260535478325,8.526512829121202e-14,0xa43fa1de15d72687,0
thread_scheduling,thread,thread,500000,20000000,irregular,8,dynamic,64,3,9.101375,4.223260535478232,4.223260535478325,9.237055564881302e-14,0xc2754040fb0c030f,0
thread_scheduling,thread,thread,500000,20000000,irregular,8,dynamic,256,1,8.393037,4.223260535478221,4.223260535478325,1.0391687510491465e-13,0x4d8a47a93cd678a,0
thread_scheduling,thread,thread,500000,20000000,irregular,8,dynamic,256,2,8.397633,4.223260535478238,4.223260535478325,8.615330671091215e-14,0x60783521a944e6b5,0
thread_scheduling,thread,thread,500000,20000000,irregular,8,dynamic,256,3,8.562936,4.223260535478218,4.223260535478325,1.0658141036401503e-13,0xe42ee75f8ebf224d,0
thread_scheduling,thread,thread,500000,20000000,irregular,8,dynamic,1024,1,8.245724,4.223260535478217,4.223260535478325,1.0746958878371515e-13,0x2791d7b5aa46ef46,0
thread_scheduling,thread,thread,500000,20000000,irregular,8,dynamic,1024,2,8.184035,4.223260535478207,4.223260535478325,1.1723955140041653e-13,0x67aa3c047530227d,0
thread_scheduling,thread,thread,500000,20000000,irregular,8,dynamic,1024,3,8.234292,4.223260535478234,4.223260535478325,9.059419880941277e-14,0x58d3c128075343f3,0
thread_scheduling,thread,thread,500000,20000000,irregular,8,dynamic,4096,1,8.253108,4.223260535478238,4.223260535478325,8.615330671091215e-14,0x4b34bcf4ca5eb520,0
thread_scheduling,thread,thread,500000,20000000,irregular,8,dynamic,4096,2,8.249299,4.223260535478243,4.223260535478325,8.171241461241152e-14,0xa1c2779cdf1fad7b,0
thread_scheduling,thread,thread,500000,20000000,irregular,8,dynamic,4096,3,8.235067,4.223260535478248,4.223260535478325,7.638334409421077e-14,0x4e80966c5092021a,0
