experiment,executable,implementation,n,nz,mode,threads,scheduling,chunk_size,repetition,time_s,rayleigh,reference_rayleigh,rayleigh_abs_error,checksum,returncode
strong,thread,thread,500000,20000000,regular,1,dynamic,1024,1,43.228307,5.601504662506887,5.601504662506887,0.0,0xa9a02afd04fba066,0
strong,thread,thread,500000,20000000,regular,1,dynamic,1024,2,42.775976,5.601504662506887,5.601504662506887,0.0,0xa9a02afd04fba066,0
strong,thread,thread,500000,20000000,regular,1,dynamic,1024,3,43.194941,5.601504662506887,5.601504662506887,0.0,0xa9a02afd04fba066,0
strong,thread,thread,500000,20000000,regular,2,dynamic,1024,1,26.754022,5.601504662506811,5.601504662506887,7.638334409421077e-14,0xbc527a3ab219cfa0,0
strong,thread,thread,500000,20000000,regular,2,dynamic,1024,2,26.641768,5.601504662506819,5.601504662506887,6.750155989720952e-14,0xf53bb311cb9e53e6,0
strong,thread,thread,500000,20000000,regular,2,dynamic,1024,3,27.822931,5.601504662506809,5.601504662506887,7.815970093361102e-14,0x915a3641cafdeffb,0
strong,thread,thread,500000,20000000,regular,4,dynamic,1024,1,15.349882,5.601504662506868,5.601504662506887,1.865174681370263e-14,0xe9e3fc8444d01049,0
strong,thread,thread,500000,20000000,regular,4,dynamic,1024,2,15.122341,5.601504662506879,5.601504662506887,7.993605777301127e-15,0x61d4f3145e182df2,0
strong,thread,thread,500000,20000000,regular,4,dynamic,1024,3,15.419209,5.601504662506883,5.601504662506887,3.552713678800501e-15,0xec1613e4641338d7,0
strong,thread,thread,500000,20000000,regular,8,dynamic,1024,1,8.308528,5.601504662506875,5.601504662506887,1.1546319456101628e-14,0x4ee6e1273cd0596e,0
strong,thread,thread,500000,20000000,regular,8,dynamic,1024,2,8.263294,5.601504662506889,5.601504662506887,1.7763568394002505e-15,0xc39c1920bd215c01,0
strong,thread,thread,500000,20000000,regular,8,dynamic,1024,3,8.272518,5.601504662506883,5.601504662506887,3.552713678800501e-15,0x87d5ec038d24f24,0
strong,omp,openmp,500000,20000000,regular,1,,1024,1,43.542858,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
strong,omp,openmp,500000,20000000,regular,1,,1024,2,48.941174,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
strong,omp,openmp,500000,20000000,regular,1,,1024,3,42.9493,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
strong,omp,openmp,500000,20000000,regular,2,,1024,1,23.040267,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
strong,omp,openmp,500000,20000000,regular,2,,1024,2,23.162571,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
strong,omp,openmp,500000,20000000,regular,2,,1024,3,23.083099,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
strong,omp,openmp,500000,20000000,regular,4,,1024,1,15.656066,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
strong,omp,openmp,500000,20000000,regular,4,,1024,2,15.921184,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
strong,omp,openmp,500000,20000000,regular,4,,1024,3,15.71701,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
strong,omp,openmp,500000,20000000,regular,8,,1024,1,9.794312,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
strong,omp,openmp,500000,20000000,regular,8,,1024,2,9.770261,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
strong,omp,openmp,500000,20000000,regular,8,,1024,3,9.794696,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
