experiment,executable,implementation,n,nz,mode,threads,scheduling,chunk_size,repetition,time_s,rayleigh,reference_rayleigh,rayleigh_abs_error,checksum,returncode
thread_scheduling,thread,thread,500000,20000000,regular,8,static,64,1,8.600536,5.601504662506911,5.601504662506887,2.398081733190338e-14,0xee30243a3519902,0
thread_scheduling,thread,thread,500000,20000000,regular,8,static,64,2,8.71884,5.601504662506911,5.601504662506887,2.398081733190338e-14,0xee30243a3519902,0
thread_scheduling,thread,thread,500000,20000000,regular,8,static,64,3,8.716831,5.601504662506911,5.601504662506887,2.398081733190338e-14,0xee30243a3519902,0
thread_scheduling,thread,thread,500000,20000000,regular,8,static,256,1,8.568409,5.601504662506911,5.601504662506887,2.398081733190338e-14,0xee30243a3519902,0
thread_scheduling,thread,thread,500000,20000000,regular,8,static,256,2,8.731686,5.601504662506911,5.601504662506887,2.398081733190338e-14,0xee30243a3519902,0
thread_scheduling,thread,thread,500000,20000000,regular,8,static,256,3,8.586874,5.601504662506911,5.601504662506887,2.398081733190338e-14,0xee30243a3519902,0
thread_scheduling,thread,thread,500000,20000000,regular,8,static,1024,1,8.649873,5.601504662506911,5.601504662506887,2.398081733190338e-14,0xee30243a3519902,0
thread_scheduling,thread,thread,500000,20000000,regular,8,static,1024,2,8.671491,5.601504662506911,5.601504662506887,2.398081733190338e-14,0xee30243a3519902,0
thread_scheduling,thread,thread,500000,20000000,regular,8,static,1024,3,8.573833,5.601504662506911,5.601504662506887,2.398081733190338e-14,0xee30243a3519902,0
thread_scheduling,thread,thread,500000,20000000,regular,8,static,4096,1,8.641966,5.601504662506911,5.601504662506887,2.398081733190338e-14,0xee30243a3519902,0
thread_scheduling,thread,thread,500000,20000000,regular,8,static,4096,2,8.702595,5.601504662506911,5.601504662506887,2.398081733190338e-14,0xee30243a3519902,0
thread_scheduling,thread,thread,500000,20000000,regular,8,static,4096,3,8.672366,5.601504662506911,5.601504662506887,2.398081733190338e-14,0xee30243a3519902,0
thread_scheduling,thread,thread,500000,20000000,regular,8,dynamic,64,1,8.613725,5.601504662506871,5.601504662506887,1.5987211554602254e-14,0x1d0c3f3befebee3e,0
thread_scheduling,thread,thread,500000,20000000,regular,8,dynamic,64,2,8.66159,5.60150466250688,5.601504662506887,7.105427357601002e-15,0xa82de1809dfcc32c,0
thread_scheduling,thread,thread,500000,20000000,regular,8,dynamic,64,3,8.594157,5.601504662506889,5.601504662506887,1.7763568394002505e-15,0x7cc7468ca566b4c5,0
thread_scheduling,thread,thread,500000,20000000,regular,8,dynamic,256,1,8.523491,5.601504662506868,5.601504662506887,1.865174681370263e-14,0x65f2c8bd20000936,0
thread_scheduling,thread,thread,500000,20000000,regular,8,dynamic,256,2,8.396252,5.601504662506875,5.601504662506887,1.1546319456101628e-14,0x56d3d5e509445367,0
thread_scheduling,thread,thread,500000,20000000,regular,8,dynamic,256,3,8.505096,5.601504662506881,5.601504662506887,6.217248937900877e-15,0x89b44d7afd1a99bb,0
thread_scheduling,thread,thread,500000,20000000,regular,8,dynamic,1024,1,8.271858,5.60150466250688,5.601504662506887,7.105427357601002e-15,0xa013d97ed920d3f3,0
thread_scheduling,thread,thread,500000,20000000,regular,8,dynamic,1024,2,8.222761,5.601504662506872,5.601504662506887,1.509903313490213e-14,0xf0039bc686b6c9ca,0
thread_scheduling,thread,thread,500000,20000000,regular,8,dynamic,1024,3,8.311755,5.601504662506876,5.601504662506887,1.0658141036401503e-14,0x9a62ee1fb739f3d5,0
thread_scheduling,thread,thread,500000,20000000,regular,8,dynamic,4096,1,8.1809,5.601504662506887,5.601504662506887,0.0,0xf5301bc5eeca9564,0
thread_scheduling,thread,thread,500000,20000000,regular,8,dynamic,4096,2,8.08533,5.601504662506884,5.601504662506887,2.6645352591003757e-15,0x85ccd535154aa092,0
thread_scheduling,thread,thread,500000,20000000,regular,8,dynamic,4096,3,8.138072,5.601504662506868,5.601504662506887,1.865174681370263e-14,0x1000b899f0294f6e,0
