experiment,executable,implementation,n,nz,mode,threads,scheduling,chunk_size,repetition,time_s,rayleigh,reference_rayleigh,rayleigh_abs_error,checksum,returncode
weak,thread,thread,100000,4000000,regular,1,dynamic,1024,1,8.042856,5.601855224056676,5.601855224056676,0.0,0x35d9d8f5e26ca8d1,0
weak,thread,thread,100000,4000000,regular,1,dynamic,1024,2,8.017634,5.601855224056676,5.601855224056676,0.0,0x35d9d8f5e26ca8d1,0
weak,thread,thread,100000,4000000,regular,1,dynamic,1024,3,8.053287,5.601855224056676,5.601855224056676,0.0,0x35d9d8f5e26ca8d1,0
weak,omp,openmp,100000,4000000,regular,1,,1024,1,8.007774,5.601855224056754,5.601855224056676,7.815970093361102e-14,0xae19a43bcad5a1e7,0
weak,omp,openmp,100000,4000000,regular,1,,1024,2,7.996559,5.601855224056754,5.601855224056676,7.815970093361102e-14,0xae19a43bcad5a1e7,0
weak,omp,openmp,100000,4000000,regular,1,,1024,3,7.97367,5.601855224056754,5.601855224056676,7.815970093361102e-14,0xae19a43bcad5a1e7,0
weak,thread,thread,200000,8000000,regular,2,dynamic,1024,1,11.125185,5.601533976659657,5.601533976659868,2.113864638886298e-13,0x55133c873f0165fa,0
weak,thread,thread,200000,8000000,regular,2,dynamic,1024,2,10.943774,5.601533976659638,5.601533976659868,2.3003821070233244e-13,0xe11ddaabe53a779c,0
weak,thread,thread,200000,8000000,regular,2,dynamic,1024,3,10.920749,5.601533976659653,5.601533976659868,2.1582735598713043e-13,0x939f90506b6b40b1,0
weak,omp,openmp,200000,8000000,regular,2,,1024,1,9.008327,5.601533976659669,5.601533976659868,1.9984014443252818e-13,0x6cc86e741858e64b,0
weak,omp,openmp,200000,8000000,regular,2,,1024,2,9.003733,5.601533976659669,5.601533976659868,1.9984014443252818e-13,0x6cc86e741858e64b,0
weak,omp,openmp,200000,8000000,regular,2,,1024,3,9.012128,5.601533976659669,5.601533976659868,1.9984014443252818e-13,0x6cc86e741858e64b,0
weak,thread,thread,400000,16000000,regular,4,dynamic,1024,1,12.39342,5.601403232561929,5.601403232562007,7.815970093361102e-14,0x41f07cca1366dd05,0
weak,thread,thread,400000,16000000,regular,4,dynamic,1024,2,12.252735,5.601403232561911,5.601403232562007,9.592326932761353e-14,0x9bd98c7b6ec20bd6,0
weak,thread,thread,400000,16000000,regular,4,dynamic,1024,3,12.144074,5.601403232561912,5.601403232562007,9.50350909079134e-14,0x6a3d15a8f0d8c16d,0
weak,omp,openmp,400000,16000000,regular,4,,1024,1,12.548888,5.601403232561944,5.601403232562007,6.306066779870889e-14,0x794d9959d58cb705,0
weak,omp,openmp,400000,16000000,regular,4,,1024,2,12.588859,5.601403232561944,5.601403232562007,6.306066779870889e-14,0x794d9959d58cb705,0
weak,omp,openmp,400000,16000000,regular,4,,1024,3,12.567499,5.601403232561944,5.601403232562007,6.306066779870889e-14,0x794d9959d58cb705,0
weak,thread,thread,800000,32000000,regular,8,dynamic,1024,1,13.403341,5.601782450907875,5.601782450908064,1.8918200339612667e-13,0x679ada29ebb1d4bf,0
weak,thread,thread,800000,32000000,regular,8,dynamic,1024,2,13.328545,5.601782450907892,5.601782450908064,1.7141843500212417e-13,0xd1082b0d7987bfb7,0
weak,thread,thread,800000,32000000,regular,8,dynamic,1024,3,13.358406,5.601782450907894,5.601782450908064,1.6964207816272392e-13,0xf739ad005afa5f43,0
weak,omp,openmp,800000,32000000,regular,8,,1024,1,16.018805,5.601782450907871,5.601782450908064,1.9273471707492718e-13,0x458b72d0086ea6e2,0
weak,omp,openmp,800000,32000000,regular,8,,1024,2,16.064641,5.601782450907871,5.601782450908064,1.9273471707492718e-13,0x458b72d0086ea6e2,0
weak,omp,openmp,800000,32000000,regular,8,,1024,3,16.036056,5.601782450907871,5.601782450908064,1.9273471707492718e-13,0x458b72d0086ea6e2,0
